"lambda","precision","recall","F1","method"
0.651438915036521,1,0.14018691588785,0.245901639344262,"inspre"
0.511223183649848,1,0.299065420560748,0.460431654676259,"inspre"
0.401187490444034,0.94,0.439252336448598,0.598726114649682,"inspre"
0.314835883106238,0.861111111111111,0.579439252336449,0.692737430167598,"inspre"
0.247070598292027,0.772277227722772,0.728971962616822,0.75,"inspre"
0.193891115390369,0.67175572519084,0.822429906542056,0.739495798319328,"inspre"
0.152157985965158,0.583815028901734,0.94392523364486,0.721428571428571,"inspre"
0.119407496554755,0.460869565217391,0.990654205607477,0.629080118694362,"inspre"
0.0937062234560519,0.344155844155844,0.990654205607477,0.510843373493976,"inspre"
0.0735368931411187,0.266169154228856,1,0.420432220039293,"inspre"
0.0577088100811629,0.202651515151515,1,0.337007874015748,"inspre"
0.0452875640883115,0.162613981762918,1,0.279738562091503,"inspre"
0.0355398674512332,0.134085213032581,1,0.23646408839779,"inspre"
0.0278902653273246,0.111111111111111,1,0.2,"inspre"
0.0218871637913657,0.0920826161790017,1,0.168636721828211,"inspre"
0.0171761700079897,0.0805116629044394,1,0.149025069637883,"inspre"
0.0134791706662217,0.0723951285520974,1,0.135015772870662,"inspre"
0.0105779135723864,0.0676786843769766,1,0.126777251184834,"inspre"
0.00830112314144627,0.0627565982404692,1,0.118101545253863,"inspre"
0.00651438915036521,0.0597765363128492,1,0.112809699525567,"inspre"
0.651438915036521,1,0.0560747663551402,0.106194690265487,"ADAPRE"
0.511223183649848,1,0.196261682242991,0.328125,"ADAPRE"
0.401187490444034,1,0.457943925233645,0.628205128205128,"ADAPRE"
0.314835883106238,0.948717948717949,0.691588785046729,0.8,"ADAPRE"
0.247070598292027,0.905660377358491,0.897196261682243,0.901408450704225,"ADAPRE"
0.193891115390369,0.751824817518248,0.962616822429907,0.844262295081967,"ADAPRE"
0.152157985965158,0.609195402298851,0.990654205607477,0.754448398576512,"ADAPRE"
0.119407496554755,0.47136563876652,1,0.640718562874252,"ADAPRE"
0.0937062234560519,0.348534201954397,1,0.516908212560386,"ADAPRE"
0.0735368931411187,0.2541567695962,1,0.40530303030303,"ADAPRE"
0.0577088100811629,0.193490054249548,1,0.324242424242424,"ADAPRE"
0.0452875640883115,0.151558073654391,1,0.263222632226322,"ADAPRE"
0.0355398674512332,0.127837514934289,1,0.226694915254237,"ADAPRE"
0.0278902653273246,0.105522682445759,1,0.190900981266726,"ADAPRE"
0.0218871637913657,0.089390142021721,1,0.164110429447853,"ADAPRE"
0.0171761700079897,0.0798507462686567,1,0.147892190739461,"ADAPRE"
0.0134791706662217,0.0711436170212766,1,0.132836747361887,"ADAPRE"
0.0105779135723864,0.0663771712158809,1,0.124490983129727,"ADAPRE"
0.00830112314144627,0.0618854829381145,1,0.116557734204793,"ADAPRE"
0.00651438915036521,0.0582788671023965,1,0.110138960370561,"ADAPRE"
